BLZ;name;city;shortName;BIC
10000000;Bundesbank;Berlin;BBk Berlin;MARKDEF1100
10010010;Postbank;Berlin;Postbank Berlin;PBNKDEFFXXX
10010111;SEB;Berlin;SEB Berlin;ESSEDE5F100
10010424;Aareal Bank;Berlin;Aareal Bank;AARBDE5W100
10019610;Dexia Kommunalbank Deutschland;Berlin;Dexia Berlin;DXIADEBBXXX
10020200;BHF-BANK;Berlin;BHF-BANK Berlin;BHFBDEFF100
10020500;Bank für Sozialwirtschaft;Berlin;Bank für Sozialwirtschaft;BFSWDE33BER
10020890;UniCredit Bank - HypoVereinsbank;Berlin;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;Kleinmachnow;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;Oranienburg;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;Brandenburg an der Havel;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;Königs Wusterhausen;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10020890;UniCredit Bank - HypoVereinsbank;Fürstenwalde /Spree;UniCredit Bank-HypoVereinbk;HYVEDEMM488
10030200;Berlin Hyp;Berlin;Berlin Hyp;BHYPDEB2XXX
10030400;ABK-Kreditbank;Berlin;ABK-Kreditbank Berlin;ABKBDEB1XXX
10030500;Bankhaus Löbbecke;Berlin;Bankhaus Löbbecke Berlin;LOEBDEBBXXX
10030600;North Channel Bank;Mainz a Rhein;North Channel Bank Mainz;GENODEF1OGK
10030700;Eurocity Bank;Frankfurt am Main;Eurocity Bank;DLGHDEB1XXX
10033300;Santander Consumer Bank;Berlin;Santander Bank Berlin;SCFBDE33XXX
10040000;Commerzbank, Filiale Berlin 1;Berlin;Commerzbank Fil. Berlin 1;COBADEBBXXX
10040010;Commerzbank, CC SP;Berlin;Commerzbank CC SP, Berlin;COBADEFFXXX
10040048;Commerzbank GF-B48;Berlin;Commerzbank BER GF-B48;COBADEFFXXX
10040060;Commerzbank Gf 160;Berlin;Commerzbank Gf 160 Berlin;COBADEFFXXX
10040061;Commerzbank Gf 161;Berlin;Commerzbank Gf 161 Berlin;COBADEFFXXX
10040063;Commerzbank CC;Berlin;Commerzbank CC Berlin;COBADEFFXXX
10040085;Commerzbank, Gf Web-K;Berlin;Commerzbank Gf WK, Berlin;COBADEFFXXX
10045050;Commerzbank Service-BZ;Berlin;Commerzbank Service-BZ;COBADEFFXXX
10050000;Landesbank Berlin - Berliner Sparkasse;Berlin;LBB - Berliner Sparkasse;BELADEBEXXX
10050005;Landesbank Berlin - E 1 -;Berlin;Landesbank Berlin - E 1 -;BELADEB1DB5
10050006;Landesbank Berlin - E 2 -;Berlin;Landesbank Berlin - E 2 -;BELADEB1DB6
10050007;Landesbank Berlin - E 3 -;Berlin;Landesbank Berlin - E 3 -;BELADEB1DB7
10050008;Landesbank Berlin - E 4 -;Berlin;Landesbank Berlin - E 4 -;BELADEB1DB8
10050020;LBB S-Kreditpartner, Berlin;Berlin;LBB S-Kreditpartner, Berlin;SKPADEB1XXX
10050500;LBS Ost Berlin;Berlin;LBS Ost Berlin;LBSODEB1BLN
10050999;DekaBank Berlin;Berlin;DekaBank Berlin;DGZFDEFFBER
10061006;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;Berlin;KD-Bank Berlin;GENODED1KDB
10070000;Deutsche Bank Fil Berlin;Berlin;Deutsche Bank Fil Berlin;DEUTDEBBXXX
10070024;Deutsche Bank Privat und Geschäftskunden F 700;Berlin;Deutsche Bank PGK Berlin;DEUTDEDBBER
10070100;Deutsche Bank Fil Berlin II;Berlin;Deutsche Bank Fil Berlin II;DEUTDEBB101
10070124;Deutsche Bank Privat und Geschäftskd Berlin II;Berlin;Deutsche Bank PGK Berlin II;DEUTDEDB101
10070848;Berliner Bank Niederlassung der Deutsche Bank PGK;Berlin;Berliner Bk Ndl Deutsche Bk;DEUTDEDB110
10077777;norisbank;Berlin;norisbank Berlin;NORSDE51XXX
10080000;Commerzbank vormals Dresdner Bank Filiale Berlin I;Berlin;Commerzbank Fil I Berlin;DRESDEFF100
10080005;Commerzbank vormals Dresdner Bank Zw A;Berlin;Commerzbank Berlin Zw A;DRESDEFFI26
10080006;Commerzbank vormals Dresdner Bank Zw B;Berlin;Commerzbank Berlin Zw B;DRESDEFFXXX
10080055;Commerzbank vormals Dresdner Bank Zw 55;Berlin;Commerzbank Zw 55 Berlin;DRESDEFF112
10080057;Commerzbank vormals Dresdner Bank Gf ZW 57;Berlin;Commerzbk ZW 57 Berlin;DRESDEFF114
10080085;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;Berlin;Commerzbank ITKG3 Berlin;DRESDEFFI53
10080086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;Berlin;Commerzbank ITGK4 Berlin;DRESDEFFI71
10080087;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;Berlin;Commerzbank ITGK5 Berlin;DRESDEFFI72
10080088;Commerzbank vormals Dresdner Bank IBLZ;Berlin;Commerzbank IBLZ Berlin;DRESDEFFXXX
10080089;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;Berlin;Commerzbank ITGK6 Berlin;DRESDEFFI73
10080900;Commerzbank vormals Dresdner Bank Filiale Berlin III;Berlin;Commerzbk Fil III Berlin;DRESDEFF199
10089260;Commerzbank vormals Dresdner Bank ITGK;Berlin;Commerzbank ITGK Berlin;DRESDEFFI14
10089999;Commerzbank vormals Dresdner Bank ITGK 2;Berlin;Commerzbank ITGK 2 Berlin;DRESDEFFI99
10090000;Berliner Volksbank;Berlin;Berliner VB Berlin;BEVODEBBXXX
10090603;apoBank;Berlin;apoBank Berlin;DAAEDED1003
10090603;apoBank;Schwerin, Meckl;apoBank Schwerin;DAAEDED1042
10090603;apoBank;Dresden;apoBank Dresden;DAAEDED1043
10090603;apoBank;Leipzig;apoBank Leipzig;DAAEDED1041
10090603;apoBank;Chemnitz, Sachs;apoBank Chemnitz;DAAEDED1049
10090603;apoBank;Erfurt;apoBank Erfurt;DAAEDED1045
10090603;apoBank;Magdeburg;apoBank Magdeburg;DAAEDED1046
10090603;apoBank;Potsdam;apoBank Potsdam;DAAEDED1048
10090900;PSD Bank Berlin-Brandenburg;Berlin;PSD Bank Berlin;GENODEF1P01
10110300;Privatbank Berlin von 1929;Berlin;Privatbank Berlin von 1929;MACODEB1XXX
10110400;Investitionsbank Berlin;Berlin;Investitionsbank Berlin;IBBBDEBBXXX
10110600;quirin bank;Berlin;quirin bank;QUBKDEBBXXX
10120100;Weberbank;Berlin;Weberbank;WELADED1WBB
10120600;Santander Consumer Bank;Frankfurt am Main;Santander Consumer Bank;SCFBDE33XXX
10120800;VON ESSEN Bankgesellschaft;Berlin;VON ESSEN Bank;VONEDE33BLN
10130600;Isbank Fil Berlin;Berlin;Isbank Berlin;ISBKDEFXBER
10130800;BIW Bank;Willich;BIW Bank;BIWBDE33XXX
10220500;Bank of Scotland Ndl Berlin;Berlin;Bank of Scotland Berlin;BOFSDEB1XXX
10220600;Sydbank Filiale Berlin;Berlin;Sydbank Berlin;SYBKDE22BER
10310600;Tradegate Wertpapierhandelsbank Berlin;Berlin;Tradegate Berlin;TRDADEB1PBK
